x,y,z,Temperature
0,0,0,0
0.0666667,0,0,0
0.133333,0,0,0
0.2,0,0,0
0.266667,0,0,0
0.333333,0,0,0
0.4,0,0,0
0.466667,0,0,0
0.533333,0,0,0
0.6,0,0,0
0.666667,0,0,0
0.733333,0,0,0
0.8,0,0,0
0.866667,0,0,0
0.933333,0,0,0
1,0,0,0
0,0.0666667,0,5.17733
0.0666667,0.0666667,0,5.21
0.133333,0.0666667,0,5.30886
0.2,0.0666667,0,5.47654
0.266667,0.0666667,0,5.71772
0.333333,0.0666667,0,6.03959
0.4,0.0666667,0,6.4527
0.466667,0.0666667,0,6.97237
0.533333,0.0666667,0,7.62105
0.6,0.0666667,0,8.43255
0.666667,0.0666667,0,9.46005
0.733333,0.0666667,0,10.7924
0.8,0.0666667,0,12.5906
0.866667,0.0666667,0,15.1784
0.933333,0.0666667,0,19.2949
1,0.0666667,0,26.885
0,0.133333,0,10.2893
0.0666667,0.133333,0,10.3538
0.133333,0.133333,0,10.5489
0.2,0.133333,0,10.8796
0.266667,0.133333,0,11.3548
0.333333,0.133333,0,11.9879
0.4,0.133333,0,12.7988
0.466667,0.133333,0,13.8157
0.533333,0.133333,0,15.0793
0.6,0.133333,0,16.6491
0.666667,0.133333,0,18.6152
0.733333,0.133333,0,21.119
0.8,0.133333,0,24.3917
0.866667,0.133333,0,28.8279
0.933333,0.133333,0,35.1162
1,0.133333,0,44.4067
0,0.2,0,15.2723
0.0666667,0.2,0,15.367
0.133333,0.2,0,15.6533
0.2,0.2,0,16.1382
0.266667,0.2,0,16.8338
0.333333,0.2,0,17.7585
0.4,0.2,0,18.939
0.466667,0.2,0,20.4125
0.533333,0.2,0,22.2312
0.6,0.2,0,24.4693
0.666667,0.2,0,27.2328
0.733333,0.2,0,30.6767
0.8,0.2,0,35.0292
0.866667,0.2,0,40.6255
0.933333,0.2,0,47.9353
1,0.2,0,57.5232
0,0.266667,0,20.066
0.0666667,0.266667,0,20.1886
0.133333,0.266667,0,20.5592
0.2,0.266667,0,21.1861
0.266667,0.266667,0,22.0836
0.333333,0.266667,0,23.2734
0.4,0.266667,0,24.7862
0.466667,0.266667,0,26.6639
0.533333,0.266667,0,28.9639
0.6,0.266667,0,31.7641
0.666667,0.266667,0,35.1701
0.733333,0.266667,0,39.3257
0.8,0.266667,0,44.4229
0.866667,0.266667,0,50.7094
0.933333,0.266667,0,58.4763
1,0.266667,0,67.9955
0,0.333333,0,24.6143
0.0666667,0.333333,0,24.7622
0.133333,0.333333,0,25.2089
0.2,0.333333,0,25.9633
0.266667,0.333333,0,27.0411
0.333333,0.333333,0,28.4654
0.4,0.333333,0,30.2683
0.466667,0.333333,0,32.4931
0.533333,0.333333,0,35.1965
0.6,0.333333,0,38.4529
0.666667,0.333333,0,42.3579
0.733333,0.333333,0,47.033
0.8,0.333333,0,52.6274
0.866667,0.333333,0,59.313
0.933333,0.333333,0,67.2651
1,0.333333,0,76.6169
0,0.4,0,28.8669
0.0666667,0.4,0,29.0371
0.133333,0.4,0,29.5508
0.2,0.4,0,30.4172
0.266667,0.4,0,31.6521
0.333333,0.4,0,33.2787
0.4,0.4,0,35.3287
0.466667,0.4,0,37.8436
0.533333,0.4,0,40.8762
0.6,0.4,0,44.493
0.666667,0.4,0,48.7756
0.733333,0.4,0,53.8212
0.8,0.4,0,59.7406
0.866667,0.4,0,66.65
0.933333,0.4,0,74.6542
1,0.4,0,83.8188
0,0.466667,0,32.7791
0.0666667,0.466667,0,32.9686
0.133333,0.466667,0,33.54
0.2,0.466667,0,34.5025
0.266667,0.466667,0,35.8713
0.333333,0.466667,0,37.6687
0.4,0.466667,0,39.9243
0.466667,0.466667,0,42.6763
0.533333,0.466667,0,45.9716
0.6,0.466667,0,49.8673
